component_id,name,component_type_id,component_mac475
9999,OTHER,OTHER,
C-0001,SLEEVE,CP-024,sleeve
C-0002,SLEEVE,CP-024,sleeve
C-0003,SLEEVE-FLARED,CP-024,sleeve
C-0004,NUT,CP-026,nut
C-0005,ADAPTER-STR,CP-028,adaptor
C-0006,ADAPTER-STR,CP-028,adaptor
C-0007,CONNECTOR-FLARE,CP-014,threaded
C-0008,BOSS,CP-018,boss
C-0009,BOSS,CP-018,boss
C-0010,NUT-FUEL TUBE,OTHER,other
C-0011,NUT,OTHER,other
C-0012,FLANGE,CP-001,straight
C-0013,ELBOW,CP-008,elbow
C-0014,FLANGE,CP-001,straight
C-0015,FLANGE,CP-001,straight
C-0016,ELBOW,CP-009,elbow
C-0017,ELBOW,CP-009,elbow
C-0018,ELBOW,CP-009,elbow
C-0019,FLANGE-ONE PIECE,CP-002,straight
C-0020,BOSS,CP-018,boss
C-0021,HOUSING-OIL,CP-010,elbow
C-0022,HOUSING FUEL,CP-010,elbow
C-0023,BLOCK,CP-008,elbow
C-0024,BLOCK,OTHER,other
C-0025,TUBE-LUBRICATION,OTHER,other
C-0026,TUBE,OTHER,other
C-0027,FLANGE,CP-021,float
C-0028,ELBOW-HYDRAULIC,CP-011,elbow
C-0029,FLANGE,CP-001,straight
C-0030,ELBOW,CP-015,threaded
C-0031,WASHER,OTHER,other
C-0032,TUBE,OTHER,other
C-0033,FLANGE,OTHER,other
C-0034,FLANGE,OTHER,other
C-0035,BOSS,CP-027,nut
C-0036,FLANGE-BRAZE,CP-003,straight
C-0037,LUG,OTHER,other
C-0038,FLANGE,CP-004,straight
C-0039,TUBE,OTHER,other
C-0040,ADAPTER,OTHER,other
C-0041,CONNECTOR-ORFS,CP-014,threaded
C-0042,ELBOW,CP-008,elbow
C-0043,CONNECTOR-ORFS,CP-014,threaded
C-0044,CONNECTOR-ORFS,CP-014,threaded
C-0045,ADAPTER-OIL LIN,OTHER,other
C-0046,FLANGE-ONE PIEC,CP-005,straight
C-0047,BAR,OTHER,other
C-0048,SLEEVE-BRAZE,CP-024,sleeve
C-0049,SLEEVE-ORFS,CP-024,sleeve
C-0050,SLEEVE-ORFS,CP-024,sleeve
C-0051,SLEEVE-ORFS,CP-024,sleeve
C-0052,SLEEVE-ORFS,CP-024,sleeve
C-0053,SLEEVE-ORFS,CP-024,sleeve
C-0054,BOSS,CP-018,boss
C-0055,FITTING,OTHER,other
C-0056,FITTING,OTHER,other
C-0057,NUT,OTHER,other
C-0058,SLEEVE-90DEG,CP-024,sleeve
C-0059,SLEEVE-90DEG,CP-024,sleeve
C-0060,SLEEVE-90DEG,CP-024,sleeve
C-0061,ADAPTER-O SUPPL,CP-010,elbow
C-0062,FLANGE-BRAZE,CP-003,straight
C-0063,ADAPTER-O LINE,CP-010,elbow
C-0064,PLATE,OTHER,other
C-0065,ELBOW-WELD,CP-009,elbow
C-0066,ELBOW-WELD,CP-009,elbow
C-0067,TUBE,OTHER,other
C-0068,TUBE AS,OTHER,other
C-0069,ELBOW,CP-015,threaded
C-0070,ELBOW-WELD,CP-015,threaded
C-0071,BOSS,CP-018,boss
C-0072,ELBOW WELD,CP-015,threaded
C-0073,ELBOW WELD,CP-015,threaded
C-0074,CONNECTOR-STOR,CP-014,threaded
C-0075,ELBOW-HYDRAULIC,CP-011,elbow
C-0076,ELBOW-HYDRAULIC,CP-011,elbow
C-0077,CONNECTOR-ORFS,CP-014,threaded
C-0078,COUPLING AS,CP-014,threaded
C-0079,FLANGE-ONE PIECE,CP-002,straight
C-0080,FLANGE,CP-003,straight
C-0081,FLANGE,CP-004,straight
C-0082,BOSS-ORFS,CP-018,boss
C-0083,FLANGE-ONE PIECE,CP-019,boss
C-0084,FLANGE,CP-019,boss
C-0085,BOSS-FITTING,OTHER,other
C-0086,FLANGE,CP-003,straight
C-0087,FLANGE,OTHER,other
C-0088,FLANGE,OTHER,other
C-0089,FLANGE,OTHER,other
C-0090,ELBOW-HYDRAULIC,CP-011,elbow
C-0091,COUPLING-PERM,OTHER,other
C-0092,FLANGE,OTHER,other
C-0093,FLANGE,CP-003,straight
C-0094,ELBOW,CP-010,elbow
C-0095,NUT,CP-025,nut
C-0096,SLEEVE,CP-024,sleeve
C-0097,NUT-SWIVEL,CP-025,nut
C-0098,FLANGE,OTHER,other
C-0099,FLANGE,OTHER,other
C-0100,FLANGE,OTHER,other
C-0101,SLEEVE,CP-024,sleeve
C-0102,NUT-SWIVEL,CP-025,nut
C-0103,BLOCK,OTHER,other
C-0104,BLOCK,CP-008,elbow
C-0105,ELBOW-BRAZE,CP-008,elbow
C-0106,ELBOW-BRAZE,CP-008,elbow
C-0107,ELBOW-900 3/4,CP-008,elbow
C-0108,FLANGE,OTHER,other
C-0109,PLATE,OTHER,other
C-0110,FLANGE-ONE PIECE,CP-002,straight
C-0111,BOSS,CP-018,boss
C-0112,FLANGE,OTHER,other
C-0113,TUBE,OTHER,other
C-0114,TUBE,OTHER,other
C-0115,FLANGE,CP-003,straight
C-0116,PLATE-FLANGE,OTHER,other
C-0117,BOSS,CP-018,boss
C-0118,FLANGE,OTHER,other
C-0119,FITTING,CP-015,threaded
C-0120,ADAPTER,OTHER,other
C-0121,ADAPTER-O LINE,OTHER,other
C-0122,HEAD-FLANGED,CP-006,straight
C-0123,ADAPTER-OIL LIN,OTHER,other
C-0124,COUPLING AS-PERM,OTHER,other
C-0125,COUPLING AS-PERM,OTHER,other
C-0126,COUPLING AS-PERM,OTHER,other
C-0127,COUPLING AS-PERM,OTHER,other
C-0128,COUPLING AS-PER,OTHER,other
C-0129,ELBOW-OIL INLET,OTHER,other
C-0130,FLANGE,OTHER,other
C-0131,FLANGE,CP-003,straight
C-0132,HEAD-FLANGED,CP-006,straight
C-0133,CONNECTOR,CP-014,threaded
C-0134,NUT-SWIVEL,CP-025,nut
C-0135,ELBOW-AFTCLR,OTHER,other
C-0136,FLANGE AS.,OTHER,other
C-0137,FLANGE,CP-003,straight
C-0138,FLANGE,CP-003,straight
C-0139,FLANGE,OTHER,other
C-0140,ELBOW,CP-010,elbow
C-0141,PLATE,CP-004,straight
C-0142,FLANGE,CP-006,straight
C-0143,ELBOW-HYDRAULIC,CP-011,elbow
C-0144,HASP AS,OTHER,other
C-0145,PLATE AS,OTHER,other
C-0146,FLANGE,CP-004,straight
C-0147,FLANGE,CP-003,straight
C-0148,ELBOW,OTHER,other
C-0149,ORIFICE,OTHER,other
C-0150,FLANGE,CP-003,straight
C-0151,BOSS,CP-018,boss
C-0152,ELBOW-HYDRAULIC,CP-008,elbow
C-0153,TUBE AS,OTHER,other
C-0154,FLANGE-ONE PIEC,CP-002,straight
C-0155,PLATE,OTHER,other
C-0156,FLANGE,CP-002,straight
C-0157,FLANGE-ONE PIEC,CP-002,straight
C-0158,FLANGE,CP-004,straight
C-0159,CONNECTOR,CP-016,threaded
C-0160,ELBOW,CP-009,elbow
C-0161,BLOCK,CP-020,boss
C-0162,FLANGE,CP-003,straight
C-0163,ELBOW-HYDRAULIC,CP-011,elbow
C-0164,ADAPTER,OTHER,other
C-0165,BOSS-FITTING,CP-018,boss
C-0166,FLANGE,CP-004,straight
C-0167,FLANGE-O FILLER,OTHER,other
C-0168,ADAPTER,OTHER,other
C-0169,FLANGE,CP-008,elbow
C-0170,FLANGE,CP-004,straight
C-0171,BOSS,OTHER,other
C-0172,FLANGE,CP-004,straight
C-0173,CONNECTOR,CP-014,threaded
C-0174,FLANGE-ONE PIECE,CP-002,straight
C-0175,ELBOW-HYDRAULIC,CP-011,elbow
C-0176,UNION-TUBE,OTHER,other
C-0177,BOSS,CP-018,boss
C-0178,ADAPTER,CP-014,threaded
C-0179,UNION-BRAZE,CP-014,threaded
C-0180,UNION-BRAZE,CP-014,threaded
C-0181,UNION-BRAZE,CP-014,threaded
C-0182,UNION-BRAZE,CP-014,threaded
C-0183,ELBOW,OTHER,other
C-0184,PLATE,OTHER,other
C-0185,PLATE,OTHER,other
C-0186,SLEEVE-ORFS,CP-024,sleeve
C-0187,ELBOW,CP-008,elbow
C-0188,ELBOW,CP-008,elbow
C-0189,ELBOW,CP-015,threaded
C-0190,FLANGE,CP-002,straight
C-0191,FLANGE,CP-004,straight
C-0192,ELBOW-HYDRAULIC,CP-008,elbow
C-0193,FLANGE,CP-003,straight
C-0194,FLANGE,OTHER,other
C-0195,FLANGE,OTHER,other
C-0196,FLANGE,OTHER,other
C-0197,FLANGE,OTHER,other
C-0198,FLANGE,OTHER,other
C-0199,COUPLET-WELD,CP-018,boss
C-0200,BOSS-WELD,OTHER,other
C-0201,PLATE,OTHER,other
C-0202,FLANGE,CP-004,straight
C-0203,PLATE,OTHER,other
C-0204,PLATE,OTHER,other
C-0205,FLANGE,CP-002,straight
C-0206,BLOCK-HYD,OTHER,other
C-0207,ELBOW-HYDRAULIC,CP-011,elbow
C-0208,CONNECTOR-WELD,CP-018,boss
C-0209,CONNECTOR-WELD,CP-018,boss
C-0210,ELBOW,CP-015,threaded
C-0211,ELBOW,CP-015,threaded
C-0212,ELBOW,CP-015,threaded
C-0213,CONNECTOR-WELD,CP-018,boss
C-0214,CONNECTOR-WELD,CP-018,boss
C-0215,CONNECTOR-WELD,CP-018,boss
C-0216,CONNECTOR,CP-014,threaded
C-0217,CONNECTOR,CP-014,threaded
C-0218,CONNECTOR,CP-014,threaded
C-0219,FLANGE-SPECIAL,CP-001,straight
C-0220,FLANGE,CP-001,straight
C-0221,FLANGE,CP-001,straight
C-0222,MANIFOLD,OTHER,other
C-0223,TEE-ORFS TO BRA,CP-016,threaded
C-0224,BOSS,OTHER,other
C-0225,NUT-FLARED,OTHER,other
C-0226,SLEEVE-FLARED,CP-024,sleeve
C-0227,NUT,OTHER,other
C-0228,SLEEVE,CP-024,sleeve
C-0229,FLANGE,CP-004,straight
C-0230,TUBE AS,OTHER,other
C-0231,FLANGE,CP-004,straight
C-0232,BOSS,OTHER,other
C-0233,TUBE,OTHER,other
C-0234,PLATE,OTHER,other
C-0235,PIPE,OTHER,other
C-0236,GUSSET,OTHER,other
C-0237,HEAD FLANGED,CP-006,straight
C-0238,NA,CP-011,elbow
C-0239,REDUCER,OTHER,other
C-0240,UNION-BRAZE,CP-014,threaded
C-0241,PLUG AS-HSH-STO,OTHER,other
C-0242,BOSS,CP-018,boss
C-0243,FLANGE,CP-019,boss
C-0244,FLANGE,CP-003,straight
C-0245,COUPLET-WELD,CP-018,boss
C-0246,FLANGE,CP-004,straight
C-0247,FLANGE-ONE PIEC,CP-003,straight
C-0248,PLATE,OTHER,other
C-0249,PLATE,OTHER,other
C-0250,FLANGE-ONE PIEC,CP-003,straight
C-0251,COLLAR,OTHER,other
C-0252,NUT-FUEL INJ,OTHER,other
C-0253,CONNECTOR-ORFS,CP-014,threaded
C-0254,FLANGE,CP-010,elbow
C-0255,BOSS,CP-018,boss
C-0256,TUBE,OTHER,other
C-0257,FLANGE,CP-019,boss
C-0258,BOSS,CP-018,boss
C-0259,ELBOW,CP-008,elbow
C-0260,BOSS,CP-018,boss
C-0261,NUT-ORFS,CP-025,nut
C-0262,BOSS,CP-018,boss
C-0263,ELBOW-90 DEG,CP-015,threaded
C-0264,ELBOW-90 DEG,CP-015,threaded
C-0265,FLANGE,OTHER,other
C-0266,FLANGE,CP-008,elbow
C-0267,COUPLING AS.,OTHER,other
C-0268,FLANGE-ONE PIEC,CP-003,straight
C-0269,FLANGE,CP-019,boss
C-0270,SPACER,OTHER,other
C-0271,TEE-HYDRAULIC,OTHER,tee
C-0272,UNION-BRAZE,CP-014,threaded
C-0273,ELBOW-HYDRAULIC,CP-008,elbow
C-0274,BOSS,CP-018,boss
C-0275,FLANGE-ONE PIECE,CP-003,straight
C-0276,MANIFOLD,OTHER,other
C-0277,MANIFOLD-FUEL,OTHER,other
C-0278,CONNECTOR-WELD,CP-018,boss
C-0279,TUBE,OTHER,other
C-0280,TUBE AS.,OTHER,other
C-0281,HOSE AS.,OTHER,other
C-0282,TUBE AS.,OTHER,other
C-0283,HOSE AS.,OTHER,other
C-0284,ELBOW-HYDRAULIC,CP-011,elbow
C-0285,ELBOW-HYDRAULIC,CP-011,elbow
C-0286,NUT-WELD,OTHER,other
C-0287,NUT-WELD,OTHER,other
C-0288,NUT-WELD,OTHER,other
C-0289,TUBE,OTHER,other
C-0290,TUBE AS.,OTHER,other
C-0291,TUBE AS.,OTHER,other
C-0292,FLANGE,CP-004,straight
C-0293,HEAD-FLANGED,OTHER,other
C-0294,BLOCK,OTHER,other
C-0295,FLANGE,CP-004,straight
C-0296,ELBOW,CP-010,elbow
C-0297,TUBE,OTHER,other
C-0298,BRACKET,OTHER,other
C-0299,TUBE,OTHER,other
C-0300,BRACKET,OTHER,other
C-0301,BLOCK,OTHER,other
C-0302,PLUG AS-LD STOR,OTHER,other
C-0303,ELBOW,CP-008,elbow
C-0304,FLANGE,OTHER,other
C-0305,PLATE,OTHER,other
C-0306,FLANGE,CP-003,straight
C-0307,CONNECTOR-SEAL,CP-019,boss
C-0308,NUT-FLARED,CP-026,nut
C-0309,SLEEVE-FLARED,CP-024,sleeve
C-0310,SPACER,OTHER,other
C-0311,ADAPTER-INLET,OTHER,other
C-0312,ADAPTER-INLET,OTHER,other
C-0313,SLEEVE,OTHER,other
C-0314,ADAPTER,OTHER,other
C-0315,BOSS,CP-027,nut
C-0316,ELBOW,OTHER,other
C-0317,ADAPTER,OTHER,other
C-0318,CONNECTOR,CP-014,threaded
C-0319,ELBOW,OTHER,other
C-0320,PLUG,CP-012,elbow
C-0321,BOSS,CP-027,nut
C-0322,PLUG AS.,OTHER,other
C-0323,FLANGE,OTHER,other
C-0324,PLUG AS.,OTHER,other
C-0325,FLANGE,CP-003,straight
C-0326,PLATE,OTHER,other
C-0327,TUBE,OTHER,other
C-0328,TUBE AS.,OTHER,other
C-0329,ELBOW,OTHER,other
C-0330,ELBOW,OTHER,other
C-0331,MANIFOLD,CP-008,elbow
C-0332,HEAD-FLANGED,CP-006,straight
C-0333,HEAD-FLANGED,CP-006,straight
C-0334,HEAD-FLANGED,CP-006,straight
C-0335,HEAD-FLANGED,CP-006,straight
C-0336,NUT-37 DEG FLARE,CP-026,nut
C-0337,NUT-ORFS,CP-025,nut
C-0338,ELBOW-WELD,CP-015,threaded
C-0339,TEE-ORFS TO WEL,CP-016,threaded
C-0340,ELBOW,OTHER,other
C-0341,PLATE,OTHER,other
C-0342,FLANGE,CP-002,straight
C-0343,FLANGE-ONE PIECE,CP-003,straight
C-0344,FLANGE,CP-003,straight
C-0345,BOSS,CP-027,nut
C-0346,PLATE,OTHER,other
C-0347,CAP-A/C,OTHER,other
C-0348,CONNECTOR-WELD,CP-018,boss
C-0349,FLANGE-PIPE,OTHER,other
C-0350,PIPE,OTHER,other
C-0351,PLATE AS,OTHER,other
C-0352,PLATE,OTHER,other
C-0353,PIPE,OTHER,other
C-0354,BUSHING-REDUCING,CP-028,adaptor
C-0355,PLATE,OTHER,other
C-0356,BOSS,CP-018,boss
C-0357,FLANGE,OTHER,other
C-0358,BOSS,CP-018,boss
C-0359,FLANGE-ONE PIECE,CP-002,straight
C-0360,FLANGE,CP-003,straight
C-0361,CONNECTOR-O-RIN,CP-028,adaptor
C-0362,FLANGE,CP-004,straight
C-0363,CONNECTOR,CP-014,threaded
C-0364,FLANGE,OTHER,other
C-0365,FLANGE,OTHER,other
C-0366,FLANGE,OTHER,other
C-0367,ELBOW,CP-009,elbow
C-0368,ADAPTER,OTHER,other
C-0369,TEE,CP-016,threaded
C-0370,HEAD-FLANGED,CP-006,straight
C-0371,FITTING,CP-016,threaded
C-0372,BRACKET,OTHER,other
C-0373,ADAPTER,OTHER,other
C-0374,COUPLING AS,OTHER,other
C-0375,NUT-DIRECT INJ,OTHER,other
C-0376,FLANGE,OTHER,other
C-0377,VALVE CORE,OTHER,other
C-0378,VALVE BODY,OTHER,other
C-0379,TUBE,OTHER,other
C-0380,FLANGE,CP-003,straight
C-0381,TUBE,OTHER,other
C-0382,PLUG AS-STOR,OTHER,other
C-0383,FLANGE,OTHER,other
C-0384,TUBE,OTHER,other
C-0385,FLANGE,CP-004,straight
C-0386,HEAD-O-RING SEAL,CP-014,threaded
C-0387,FLANGE,CP-019,boss
C-0388,CONNECTOR-BHD,CP-014,threaded
C-0389,CONNECTOR-BHD,CP-014,threaded
C-0390,NUT-SWIVEL,CP-025,nut
C-0391,SLEEVE-90 DEG,CP-024,sleeve
C-0392,HEAD-FLANGE,CP-006,straight
C-0393,BOSS,CP-018,boss
C-0394,ELBOW-HYDRAULIC,CP-008,elbow
C-0395,PLATE,OTHER,other
C-0396,FLANGE,OTHER,other
C-0397,ORIFICE AS.-A/C,OTHER,other
C-0398,FLANGE,CP-004,straight
C-0399,TEE,CP-016,threaded
C-0400,FLANGE-ONE PIECE,CP-003,straight
C-0401,ELBOW-HYDRAULIC,CP-008,elbow
C-0402,BLOCK-DRAIN,OTHER,other
C-0403,BOSS,CP-003,straight
C-0404,SLEEVE,OTHER,other
C-0405,BOSS,CP-018,boss
C-0406,FLANGE-ONE PIEC,CP-003,straight
C-0407,ELBOW-HYDRAULIC,CP-008,elbow
C-0408,TEE-HYDRAULIC,OTHER,other
C-0409,CONNECTOR-SWIVEL,CP-014,threaded
C-0410,CONNECTOR-SWIVEL,CP-014,threaded
C-0411,CONNECTOR-WELD,CP-018,boss
C-0412,BOSS,OTHER,other
C-0413,CONNECTOR,CP-014,threaded
C-0414,CONNECTOR,CP-014,threaded
C-0415,CONNECTOR,CP-014,threaded
C-0416,PLATE,OTHER,other
C-0417,COUPLING AS,CP-014,threaded
C-0418,CONNECTOR,CP-014,threaded
C-0419,COUPLING AS,CP-014,threaded
C-0420,CONNECTOR,CP-014,threaded
C-0421,ELBOW-O-RING,CP-015,threaded
C-0422,WASHER-FUEL LIN,OTHER,other
C-0423,FLANGE,CP-004,straight
C-0424,NUT-WELD,OTHER,other
C-0425,BOSS,CP-018,boss
C-0426,BOSS,CP-018,boss
C-0427,SEAL-O RING,OTHER,other
C-0428,CONNECTOR,CP-028,adaptor
C-0429,ELBOW,OTHER,other
C-0430,WASHER,OTHER,other
C-0431,ELBOW,OTHER,other
C-0432,BOSS,CP-018,boss
C-0433,FITTING,OTHER,other
C-0434,FLANGE,CP-004,straight
C-0435,TUBE AS-SUPPLY,OTHER,other
C-0436,TUBE AS-SUPPLY,OTHER,other
C-0437,TUBE AS-O SUPPL,OTHER,other
C-0438,NUT-F INJ LINE,OTHER,other
C-0439,ADAPTER-O LINE,OTHER,other
C-0440,ADAPTER,OTHER,other
C-0441,ADAPTER-O LINE,OTHER,other
C-0442,ADAPTER-O DRAIN,OTHER,other
C-0443,NUT-FLARED,CP-028,adaptor
C-0444,NUT-FLARED,CP-026,nut
C-0445,SLEEVE-ORFS,CP-024,sleeve
C-0446,ADAPTER-DRAIN,OTHER,other
C-0447,ADAPTER-SUPPLY,CP-010,elbow
C-0448,NUT-FLARED,CP-026,nut
C-0449,SLEEVE-FLARED,CP-024,sleeve
C-0450,FLANGE-ONE PIEC,CP-002,straight
C-0451,FLANGE-ONE PIEC,CP-002,straight
C-0452,FLANGE-ONE PIEC,CP-002,straight
C-0453,FLANGE-ONE PIEC,CP-002,straight
C-0454,FLANGE-CAPTIVE,CP-022,float
C-0455,FLANGE-CAPTIVE,CP-022,float
C-0456,HEAD-FLANGED,CP-007,straight
C-0457,HEAD-FLANGED,CP-007,straight
C-0458,HEAD-FLANGE,CP-007,straight
C-0459,HEAD-FLANGED,CP-007,straight
C-0460,HEAD-FLANGED,CP-007,straight
C-0461,HEAD-FLANGED,CP-007,straight
C-0462,HEAD-FLANGED,CP-007,straight
C-0463,HEAD-FLANGED,CP-007,straight
C-0464,ELBOW-HYDRAULIC,CP-011,elbow
C-0465,FLANGE-ONE PIEC,CP-002,straight
C-0466,FLANGE-ONE PIEC,CP-002,straight
C-0467,CLAMP,OTHER,other
C-0468,FLANGE,CP-004,straight
C-0469,COLLAR-O-RING,OTHER,other
C-0470,BLOCK,OTHER,other
C-0471,FLANGE,CP-004,straight
C-0472,BLOCK,OTHER,other
C-0473,PLATE,OTHER,other
C-0474,BOSS,CP-018,boss
C-0475,BOSS,CP-018,boss
C-0476,ADAPTER,OTHER,other
C-0477,HASP-OIL FILLER,OTHER,other
C-0478,NUT-INJ F V,OTHER,other
C-0479,FLANGE,CP-004,straight
C-0480,FLANGE-O SUPPLY,CP-004,straight
C-0481,ADAPTER-O DRAIN,OTHER,other
C-0482,TUBE AS,OTHER,other
C-0483,BOSS,CP-018,boss
C-0484,TUBE-TURBO OIL,OTHER,other
C-0485,HEAD-FLANGED,CP-006,straight
C-0486,COUPLET,CP-018,boss
C-0487,TEE-BRAZE,CP-016,threaded
C-0488,TEE-BRAZE,CP-016,threaded
C-0489,PLATE,OTHER,other
C-0490,RING-RETAINING,OTHER,other
C-0491,ADAPTER,OTHER,other
C-0492,HEAD-O-RING,CP-006,straight
C-0493,BOSS,CP-018,boss
C-0494,FLANGE,CP-022,float
C-0495,SADDLE,CP-018,boss
C-0496,FLANGE,CP-022,float
C-0497,BOSS,CP-018,boss
C-0498,HEAD,CP-006,straight
C-0499,SADDLE,CP-018,boss
C-0500,FLANGE,CP-006,straight
C-0501,ELBOW,CP-008,elbow
