supplier,supplier_sum,supplier_1982,supplier_1985,supplier_1987,supplier_1988,supplier_1989,supplier_1991,supplier_1992,supplier_1993,supplier_1994,supplier_1995,supplier_1996,supplier_1997,supplier_1998,supplier_1999,supplier_2000,supplier_2001,supplier_2002,supplier_2003,supplier_2004,supplier_2005,supplier_2006,supplier_2007,supplier_2008,supplier_2009,supplier_2010,supplier_2011,supplier_2012,supplier_2013,supplier_2014,supplier_2015,supplier_2016,supplier_2017
S-0003,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
S-0004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,
S-0005,90452,,,,,,,,,,,,,,,,,,,,,,,,,,,,10414,80038,,,
S-0006,301,,,,,,,,,,,,,,,,,,,,,,,,,,,1,300,,,,
S-0007,1622,,,,,,,,,,,,,,,,,,,,,,60,,6,12,1544,,,,,,
S-0008,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,
S-0009,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
S-0011,1400,,,,,,,,,,,,,,,,,,0,,,,,575,,,625,,,200,,,
S-0012,971,,,,,,,,,,,,,,,,,,,,,,,,,500,471,,,,,,
S-0013,90265930,,,,,,,,,,,,,,,,,,,2,2850,584,1349,10683,71613376,1096593,8820137,109659,5707888,2774809,128000,,
S-0014,1583727,,,,,,,,,,,,,,0,0,88000,84,0,455,29363,0,1056183,76,21252,10056,44547,200,6300,327211,,,
S-0015,13,,,,,,,,,,,,,,,,,,,,,0,,,,,,13,,,,,
S-0018,1517,,,,,,,,,,,,,,,,,,,,,,,1,116,,1400,,,,,,
S-0022,1125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125000,,,
S-0023,6970,,,,,,,,,,,,,,,,,,,,,,,1970,,5000,,,,,,,
S-0024,65000,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,,,,
S-0025,6,,,,,,,,,,,,,,,,,,,,,,0,6,,,,,,,,,
S-0026,3429748,4650,550,0,0,120,650,50,,600,1146,112,179321,391,369,645,1306,13430,18474,114612,20635,75723,70751,65424,2301933,29978,27284,64448,77159,356826,2747,241,173
S-0027,44995,,,,,,,,,,,,,,,,,,,,,,,,,,,,44245,675,75,,
S-0028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
S-0029,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
S-0030,128992,,,,,,,,,,,,,0,,,,,,,,15000,0,11,,325,,,,113656,,,
S-0031,244501,,,,,,,,,,,,,,,,,,,,,,,5000,3300,,11845,19931,200008,4417,,,
S-0033,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
S-0036,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
S-0039,200,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,
S-0040,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000,,,
S-0041,21733956,,,,,,,,,,,,,,0,,,0,0,0,0,7481894,39600,24930,12046,3200,1969764,869309,8985736,2347477,,,
S-0042,2711575,,,,,,,,,,,,,,,,,,,,,,,,,,,,2511189,200386,,,
S-0043,14186,,,,,,,,,,,,,,,,,,,,,,1130,5291,,1302,5450,945,16,52,,,
S-0046,21,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,1,,,
S-0050,7760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760000,,,
S-0051,17,,,,,,,,,,,,,,,,,,,10,,,,,,,1,6,,,,,
S-0054,100049,,,,,,,,,,,,,,,,0,42,,16,0,0,549,1314,2684,9403,6356,13741,53393,12551,,,
S-0056,188,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,
S-0058,79907075,,,,,,,,,,,,,,,,,0,,9180,15093,19455429,71119,20728873,839276,13227270,902662,9101995,5406158,10150020,,,
S-0059,79679,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1260,76919,,,
S-0060,1240,,,,,,,,,,,,,,,,,,,,,,,206,,420,,,614,,,,
S-0061,6294,,,,,,,,,,,,,,,,,,,,,,,,4,6290,,,,,,,
S-0062,9956823,,,,,,1714,671,610,11300,815,14,30309,2059,19819,400,3447,4285,1774,32388,3658295,92212,4820,21054,497801,1247484,3723206,240881,209434,152031,,,
S-0064,1799570,,,,55,536,,,5,213,749,100,38,105,2747,500,446,324,102903,20730,1167,59567,11803,21352,1198091,792,43106,174552,21394,138295,,,
S-0066,15448070,,,0,,,,0,0,,835,2926,1914,22348,2813,3136,110624,99234,15869,30353,845511,15431,76019,141705,441750,108832,3461977,4314394,5255633,496550,,,216
S-0068,1642,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,1592,,,
S-0069,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
S-0070,1312257,,,,,,,,,,,,,,,,,249,,903000,,10175,625,267318,84376,,6500,25,37482,2507,,,
S-0072,9137728,,,,0,,,,,37,200,15,371,422,2115,6378,40541,23175,24805,9417,8442,265573,165536,253036,100882,36090,1233920,2206135,4555639,203799,576,624,
S-0073,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,
S-0074,288,,,,,,,,,,,,,,,,,0,,,,,3,,,,,,285,,,,
S-0076,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,,,,
S-0077,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,
S-0078,23,,,,,,,,,,,,,,,,,,,,,,,,,,20,,3,,,,
S-0080,279,,,,,,,,,,,,,,,,,,,,,,0,,43,,,,43,193,,,
S-0081,579135,,,,,,,,,,,,,,,,45,,2545,900,,988,5000,10,24031,14327,3531,4179,212498,311081,,,
S-0087,2444,,,,,,,,,,,,,,,,,,,,,,,,2444,,,,,,,,
S-0088,10327,,,,,,,,,,,,,,,,,,,,,,,,,,,4279,,6048,,,
S-0090,28500,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,28500,,,
S-0091,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
S-0092,134724,,,,,,,,,,,,,,,,,,,,,,,,,,38,64352,64034,6300,,,
S-0095,400,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,
S-0096,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
S-0097,9,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
S-0104,120323,,,,,,,,,,,,,,,,,,,,,,,,,,66,101400,18278,579,,,
S-0105,52851,,,,,,,,,,,,,,,,,,,,,,,,,14711,758,1109,7622,28651,,,
S-0106,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,
S-0107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
S-0108,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,
S-0109,106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,106000,,,,
S-0111,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,,,
