component_id,name,component_type_id,component_mac475,mac475_weight,uniqueness,orientation,overall_length
NONE,NONE,NONE,NONE,0,N,N,0
9999,OTHER,OTHER,0,0.24,N,N,0
C-0001,SLEEVE,CP-024,sleeve,0.013,N,N,17.3
C-0002,SLEEVE,CP-024,sleeve,0.005,N,N,11.2
C-0003,SLEEVE-FLARED,CP-024,sleeve,0.014,N,N,19.3
C-0004,NUT,CP-026,nut,0.014,N,N,17
C-0005,ADAPTER-STR,CP-028,adaptor,0.206,N,N,58.4
C-0006,ADAPTER-STR,CP-028,adaptor,0.083,N,N,34.8
C-0007,CONNECTOR-FLARE,CP-014,threaded,0.028,N,N,24.4
C-0008,BOSS,CP-018,boss,0.032,Y,Y,0
C-0009,BOSS,CP-018,boss,0.033,N,Y,0
C-0010,NUT-FUEL TUBE,OTHER,other,0.01,N,N,0
C-0011,NUT,OTHER,other,0.012,N,N,0
C-0012,FLANGE,CP-001,straight,0.788,N,Y,40
C-0013,ELBOW,CP-008,elbow,8.89,N,Y,185
C-0014,FLANGE,CP-001,straight,0.339,N,Y,38
C-0015,FLANGE,CP-001,straight,0.788,N,Y,40
C-0016,ELBOW,CP-009,elbow,1.172,N,Y,69
C-0017,ELBOW,CP-009,elbow,1.245,N,Y,69
C-0018,ELBOW,CP-009,elbow,1.863,N,Y,80
C-0019,FLANGE-ONE PIECE,CP-002,straight,1.533,N,Y,28
C-0020,BOSS,CP-018,boss,0.07,Y,Y,0
C-0021,HOUSING-OIL,CP-010,elbow,0.903,Y,Y,70
C-0022,HOUSING FUEL,CP-010,elbow,0.103,Y,Y,39
C-0023,BLOCK,CP-008,elbow,1.297,N,Y,58.5
C-0024,BLOCK,OTHER,other,0.509,N,N,0
C-0025,TUBE-LUBRICATION,OTHER,other,0.15,N,N,0
C-0026,TUBE,OTHER,other,0.032,N,N,0
C-0027,FLANGE,CP-021,float,2.23,N,Y,0
C-0028,ELBOW-HYDRAULIC,CP-011,elbow,1.633,N,Y,100
C-0029,FLANGE,CP-001,straight,0.286,N,Y,28
C-0030,ELBOW,CP-015,threaded,0.914,N,Y,38.5
C-0031,WASHER,OTHER,other,0.038,N,N,0
C-0032,TUBE,OTHER,other,4.485,N,N,0
C-0033,FLANGE,OTHER,other,1.662,N,N,0
C-0034,FLANGE,OTHER,other,0.424,N,N,0
C-0035,BOSS,CP-027,nut,0.009,N,N,12
C-0036,FLANGE-BRAZE,CP-003,straight,1.85,N,Y,28
C-0037,LUG,OTHER,other,0.081,N,N,0
C-0038,FLANGE,CP-004,straight,0.169,N,Y,28
C-0039,TUBE,OTHER,other,1.953,N,N,0
C-0040,ADAPTER,OTHER,other,1.693,N,N,0
C-0041,CONNECTOR-ORFS,CP-014,threaded,0.12,N,N,28
C-0042,ELBOW,CP-008,elbow,0.357,N,Y,33
C-0043,CONNECTOR-ORFS,CP-014,threaded,0.09,N,N,38
C-0044,CONNECTOR-ORFS,CP-014,threaded,0.182,N,N,30.5
C-0045,ADAPTER-OIL LIN,OTHER,other,0.215,N,N,0
C-0046,FLANGE-ONE PIEC,CP-005,straight,0.38,N,Y,28
C-0047,BAR,OTHER,other,0.233,N,N,0
C-0048,SLEEVE-BRAZE,CP-024,sleeve,0.006,N,N,9.5
C-0049,SLEEVE-ORFS,CP-024,sleeve,0.012,N,N,9.5
C-0050,SLEEVE-ORFS,CP-024,sleeve,0.015,N,N,10.5
C-0051,SLEEVE-ORFS,CP-024,sleeve,0.033,N,N,14
C-0052,SLEEVE-ORFS,CP-024,sleeve,0.041,N,N,15.5
C-0053,SLEEVE-ORFS,CP-024,sleeve,0.079,N,N,15.5
C-0054,BOSS,CP-018,boss,0.18,Y,Y,0
C-0055,FITTING,OTHER,other,0.002,N,N,0
C-0056,FITTING,OTHER,other,0.004,N,N,0
C-0057,NUT,OTHER,other,0.035,N,N,0
C-0058,SLEEVE-90DEG,CP-024,sleeve,0.006,N,N,8.6
C-0059,SLEEVE-90DEG,CP-024,sleeve,0.015,N,N,10.5
C-0060,SLEEVE-90DEG,CP-024,sleeve,0.042,N,N,12.5
C-0061,ADAPTER-O SUPPL,CP-010,elbow,0.2,Y,Y,66.3
C-0062,FLANGE-BRAZE,CP-003,straight,1.85,N,Y,28
C-0063,ADAPTER-O LINE,CP-010,elbow,0.227,Y,Y,31
C-0064,PLATE,OTHER,other,0.952,N,N,0
C-0065,ELBOW-WELD,CP-009,elbow,0.561,N,Y,56
C-0066,ELBOW-WELD,CP-009,elbow,0.614,N,Y,56
C-0067,TUBE,OTHER,other,0.265,N,N,0
C-0068,TUBE AS,OTHER,other,0.25,N,N,0
C-0069,ELBOW,CP-015,threaded,0.216,Y,Y,38.5
C-0070,ELBOW-WELD,CP-015,threaded,0.178,N,Y,38.5
C-0071,BOSS,CP-018,boss,0.08,Y,Y,0
C-0072,ELBOW WELD,CP-015,threaded,0.29,N,Y,38.5
C-0073,ELBOW WELD,CP-015,threaded,0.537,N,Y,38.5
C-0074,CONNECTOR-STOR,CP-014,threaded,0.134,N,N,40.5
C-0075,ELBOW-HYDRAULIC,CP-011,elbow,1.09,N,Y,78
C-0076,ELBOW-HYDRAULIC,CP-011,elbow,1.494,N,Y,85.5
C-0077,CONNECTOR-ORFS,CP-014,threaded,0.066,N,N,23
C-0078,COUPLING AS,CP-014,threaded,0.07,N,N,32
C-0079,FLANGE-ONE PIECE,CP-002,straight,3.09,N,Y,28
C-0080,FLANGE,CP-003,straight,0.434,N,Y,28
C-0081,FLANGE,CP-004,straight,0.02,N,Y,28
C-0082,BOSS-ORFS,CP-018,boss,0.043,Y,Y,0
C-0083,FLANGE-ONE PIECE,CP-019,boss,2.093,N,Y,0
C-0084,FLANGE,CP-019,boss,2.601,N,Y,0
C-0085,BOSS-FITTING,OTHER,other,0.079,N,N,0
C-0086,FLANGE,CP-003,straight,0.65,N,Y,28
C-0087,FLANGE,OTHER,other,7.26,N,N,0
C-0088,FLANGE,OTHER,other,6.35,N,N,0
C-0089,FLANGE,OTHER,other,0.06,N,N,0
C-0090,ELBOW-HYDRAULIC,CP-011,elbow,1.159,N,Y,94
C-0091,COUPLING-PERM,OTHER,other,0.164,N,N,0
C-0092,FLANGE,OTHER,other,0.09,N,N,0
C-0093,FLANGE,CP-003,straight,0.332,N,Y,28
C-0094,ELBOW,CP-010,elbow,0.61,Y,Y,65.5
C-0095,NUT,CP-025,nut,0.046,N,N,23.5
C-0096,SLEEVE,CP-024,sleeve,0.006,N,N,8.5
C-0097,NUT-SWIVEL,CP-025,nut,0.027,N,N,17
C-0098,FLANGE,OTHER,other,0.236,N,N,0
C-0099,FLANGE,OTHER,other,0.219,N,N,0
C-0100,FLANGE,OTHER,other,3.289,N,N,0
C-0101,SLEEVE,CP-024,sleeve,0.01,N,N,10.5
C-0102,NUT-SWIVEL,CP-025,nut,0.027,N,N,20
C-0103,BLOCK,OTHER,other,1.457,N,N,0
C-0104,BLOCK,CP-008,elbow,1.496,N,Y,78.5
C-0105,ELBOW-BRAZE,CP-008,elbow,9.6,N,Y,100
C-0106,ELBOW-BRAZE,CP-008,elbow,9.6,N,Y,100
C-0107,ELBOW-900 3/4,CP-008,elbow,0.682,N,Y,70
C-0108,FLANGE,OTHER,other,0.13,N,N,0
C-0109,PLATE,OTHER,other,0.063,N,N,0
C-0110,FLANGE-ONE PIECE,CP-002,straight,1.097,N,Y,28
C-0111,BOSS,CP-018,boss,0.1,Y,Y,0
C-0112,FLANGE,OTHER,other,0.901,N,N,0
C-0113,TUBE,OTHER,other,3.416,N,N,0
C-0114,TUBE,OTHER,other,2.927,N,N,0
C-0115,FLANGE,CP-003,straight,0.43,N,Y,28
C-0116,PLATE-FLANGE,OTHER,other,0.1,N,N,0
C-0117,BOSS,CP-018,boss,0.081,N,Y,0
C-0118,FLANGE,OTHER,other,0.25,N,N,0
C-0119,FITTING,CP-015,threaded,0.205,N,Y,38.5
C-0120,ADAPTER,OTHER,other,0.029,N,N,0
C-0121,ADAPTER-O LINE,OTHER,other,0.227,N,N,0
C-0122,HEAD-FLANGED,CP-006,straight,0.08,N,N,19.05
C-0123,ADAPTER-OIL LIN,OTHER,other,0.566,N,N,0
C-0124,COUPLING AS-PERM,OTHER,other,0.143,N,N,0
C-0125,COUPLING AS-PERM,OTHER,other,0.165,N,N,0
C-0126,COUPLING AS-PERM,OTHER,other,0.162,N,N,0
C-0127,COUPLING AS-PERM,OTHER,other,0.166,N,N,0
C-0128,COUPLING AS-PER,OTHER,other,0.158,N,N,0
C-0129,ELBOW-OIL INLET,OTHER,other,0.25,N,N,0
C-0130,FLANGE,OTHER,other,0.49,N,N,0
C-0131,FLANGE,CP-003,straight,0.825,Y,Y,28
C-0132,HEAD-FLANGED,CP-006,straight,0.25,N,N,22.23
C-0133,CONNECTOR,CP-014,threaded,0.142,Y,N,70
C-0134,NUT-SWIVEL,CP-025,nut,0.016,N,N,15
C-0135,ELBOW-AFTCLR,OTHER,other,1.5,N,N,0
C-0136,FLANGE AS.,OTHER,other,0.25,N,N,0
C-0137,FLANGE,CP-003,straight,0.5,Y,Y,28
C-0138,FLANGE,CP-003,straight,0.56,N,Y,28
C-0139,FLANGE,OTHER,other,1.548,N,N,0
C-0140,ELBOW,CP-010,elbow,0.28,Y,Y,54.12
C-0141,PLATE,CP-004,straight,0.336,N,Y,28
C-0142,FLANGE,CP-006,straight,0.19,N,N,28
C-0143,ELBOW-HYDRAULIC,CP-011,elbow,9.5,Y,Y,153
C-0144,HASP AS,OTHER,other,0.061,N,N,0
C-0145,PLATE AS,OTHER,other,0.117,N,N,0
C-0146,FLANGE,CP-004,straight,0.127,N,Y,28
C-0147,FLANGE,CP-003,straight,1.3,Y,Y,28
C-0148,ELBOW,OTHER,other,0.375,N,N,0
C-0149,ORIFICE,OTHER,other,0.084,N,N,0
C-0150,FLANGE,CP-003,straight,0.105,N,Y,28
C-0151,BOSS,CP-018,boss,0.047,Y,Y,0
C-0152,ELBOW-HYDRAULIC,CP-008,elbow,4.987,Y,Y,110
C-0153,TUBE AS,OTHER,other,1.161,N,N,0
C-0154,FLANGE-ONE PIEC,CP-002,straight,0.972,N,Y,28
C-0155,PLATE,OTHER,other,0.098,N,N,0
C-0156,FLANGE,CP-002,straight,1.251,Y,Y,28
C-0157,FLANGE-ONE PIEC,CP-002,straight,0.801,N,Y,28
C-0158,FLANGE,CP-004,straight,0.097,N,Y,28
C-0159,CONNECTOR,CP-016,threaded,0.667,N,Y,38.5
C-0160,ELBOW,CP-009,elbow,1.004,N,Y,63
C-0161,BLOCK,CP-020,boss,0.559,N,Y,0
C-0162,FLANGE,CP-003,straight,2.725,N,Y,28
C-0163,ELBOW-HYDRAULIC,CP-011,elbow,1.415,N,Y,100
C-0164,ADAPTER,OTHER,other,0.179,N,N,0
C-0165,BOSS-FITTING,CP-018,boss,0.046,N,Y,0
C-0166,FLANGE,CP-004,straight,0.11,N,Y,28
C-0167,FLANGE-O FILLER,OTHER,other,0.27,N,N,0
C-0168,ADAPTER,OTHER,other,0.418,N,N,0
C-0169,FLANGE,CP-008,elbow,9.805,N,Y,190.55
C-0170,FLANGE,CP-004,straight,0.09,N,Y,28
C-0171,BOSS,OTHER,other,0.234,N,N,0
C-0172,FLANGE,CP-004,straight,0.191,N,Y,28
C-0173,CONNECTOR,CP-014,threaded,0.14,N,N,43.5
C-0174,FLANGE-ONE PIECE,CP-002,straight,2.07,N,Y,28
C-0175,ELBOW-HYDRAULIC,CP-011,elbow,1.347,N,Y,84
C-0176,UNION-TUBE,OTHER,other,0.476,N,N,0
C-0177,BOSS,CP-018,boss,0.122,Y,Y,0
C-0178,ADAPTER,CP-014,threaded,0.511,N,N,50
C-0179,UNION-BRAZE,CP-014,threaded,0.104,N,N,38.5
C-0180,UNION-BRAZE,CP-014,threaded,0.144,N,N,33.5
C-0181,UNION-BRAZE,CP-014,threaded,0.218,N,N,38.5
C-0182,UNION-BRAZE,CP-014,threaded,0.269,N,N,38.5
C-0183,ELBOW,OTHER,other,0.795,N,N,0
C-0184,PLATE,OTHER,other,0.323,N,N,0
C-0185,PLATE,OTHER,other,0.064,N,N,0
C-0186,SLEEVE-ORFS,CP-024,sleeve,0.024,N,N,15.5
C-0187,ELBOW,CP-008,elbow,1.17,N,Y,85
C-0188,ELBOW,CP-008,elbow,1.5,N,Y,127
C-0189,ELBOW,CP-015,threaded,0.07,N,Y,38.5
C-0190,FLANGE,CP-002,straight,1.035,Y,Y,28
C-0191,FLANGE,CP-004,straight,0.407,N,Y,28
C-0192,ELBOW-HYDRAULIC,CP-008,elbow,1.433,N,Y,77.2
C-0193,FLANGE,CP-003,straight,0.625,N,Y,28
C-0194,FLANGE,OTHER,other,4.1,N,N,0
C-0195,FLANGE,OTHER,other,3,N,N,0
C-0196,FLANGE,OTHER,other,5.7,N,N,0
C-0197,FLANGE,OTHER,other,3.81,N,N,0
C-0198,FLANGE,OTHER,other,2.82,N,N,0
C-0199,COUPLET-WELD,CP-018,boss,0.1,Y,Y,0
C-0200,BOSS-WELD,OTHER,other,0.223,N,N,0
C-0201,PLATE,OTHER,other,0.36,N,N,0
C-0202,FLANGE,CP-004,straight,0.278,N,Y,28
C-0203,PLATE,OTHER,other,0.295,N,N,0
C-0204,PLATE,OTHER,other,0.088,N,N,0
C-0205,FLANGE,CP-002,straight,0.807,Y,Y,28
C-0206,BLOCK-HYD,OTHER,other,1.603,N,N,0
C-0207,ELBOW-HYDRAULIC,CP-011,elbow,1.304,N,Y,88
C-0208,CONNECTOR-WELD,CP-018,boss,0.023,N,Y,0
C-0209,CONNECTOR-WELD,CP-018,boss,0.022,N,Y,0
C-0210,ELBOW,CP-015,threaded,0.211,N,Y,38.5
C-0211,ELBOW,CP-015,threaded,0.243,N,Y,38.5
C-0212,ELBOW,CP-015,threaded,0.633,N,Y,38.5
C-0213,CONNECTOR-WELD,CP-018,boss,0.159,N,Y,0
C-0214,CONNECTOR-WELD,CP-018,boss,0.059,N,Y,0
C-0215,CONNECTOR-WELD,CP-018,boss,0.033,N,Y,0
C-0216,CONNECTOR,CP-014,threaded,0.034,N,N,20.32
C-0217,CONNECTOR,CP-014,threaded,0.054,N,N,23.62
C-0218,CONNECTOR,CP-014,threaded,0.082,N,N,27.69
C-0219,FLANGE-SPECIAL,CP-001,straight,1.171,Y,Y,28
C-0220,FLANGE,CP-001,straight,0.97,Y,Y,28
C-0221,FLANGE,CP-001,straight,0.795,Y,Y,28
C-0222,MANIFOLD,OTHER,other,9.456,N,N,0
C-0223,TEE-ORFS TO BRA,CP-016,threaded,0.56,N,Y,38.5
C-0224,BOSS,OTHER,other,0.28,N,N,0
C-0225,NUT-FLARED,OTHER,other,0.07,N,N,0
C-0226,SLEEVE-FLARED,CP-024,sleeve,0.06,N,N,12.7
C-0227,NUT,OTHER,other,0.07,N,N,0
C-0228,SLEEVE,CP-024,sleeve,0.06,N,N,16.8
C-0229,FLANGE,CP-004,straight,0.18,N,Y,28
C-0230,TUBE AS,OTHER,other,0.216,N,N,0
C-0231,FLANGE,CP-004,straight,0.23,N,Y,28
C-0232,BOSS,OTHER,other,0.073,N,N,0
C-0233,TUBE,OTHER,other,0.163,N,N,0
C-0234,PLATE,OTHER,other,0.15,N,N,0
C-0235,PIPE,OTHER,other,4.337,N,N,0
C-0236,GUSSET,OTHER,other,0.036,N,N,0
C-0237,HEAD FLANGED,CP-006,straight,0.172,N,N,28
C-0238,0,CP-011,elbow,1.121,N,Y,94
C-0239,REDUCER,OTHER,other,0.852,N,N,0
C-0240,UNION-BRAZE,CP-014,threaded,0.195,N,N,38
C-0241,PLUG AS-HSH-STO,OTHER,other,0.118,N,N,0
C-0242,BOSS,CP-018,boss,0.08,Y,Y,0
C-0243,FLANGE,CP-019,boss,4.034,N,Y,0
C-0244,FLANGE,CP-003,straight,2.127,N,Y,28
C-0245,COUPLET-WELD,CP-018,boss,0.1,Y,Y,0
C-0246,FLANGE,CP-004,straight,0.08,N,Y,28
C-0247,FLANGE-ONE PIEC,CP-003,straight,2.25,N,Y,28
C-0248,PLATE,OTHER,other,0.248,N,N,0
C-0249,PLATE,OTHER,other,0.229,N,N,0
C-0250,FLANGE-ONE PIEC,CP-003,straight,2.46,N,Y,28
C-0251,COLLAR,OTHER,other,0.041,N,N,0
C-0252,NUT-FUEL INJ,OTHER,other,0.025,N,N,0
C-0253,CONNECTOR-ORFS,CP-014,threaded,0.2,N,N,30.5
C-0254,FLANGE,CP-010,elbow,0.486,Y,Y,43
C-0255,BOSS,CP-018,boss,0.127,Y,Y,0
C-0256,TUBE,OTHER,other,0.597,N,N,0
C-0257,FLANGE,CP-019,boss,1.63,N,Y,0
C-0258,BOSS,CP-018,boss,0.192,Y,Y,0
C-0259,ELBOW,CP-008,elbow,1.836,N,Y,82.5
C-0260,BOSS,CP-018,boss,0.186,Y,Y,0
C-0261,NUT-ORFS,CP-025,nut,0.153,N,N,27.8
C-0262,BOSS,CP-018,boss,0.158,Y,Y,0
C-0263,ELBOW-90 DEG,CP-015,threaded,0.525,N,Y,38.5
C-0264,ELBOW-90 DEG,CP-015,threaded,0.525,N,Y,38.5
C-0265,FLANGE,OTHER,other,4.59,N,N,0
C-0266,FLANGE,CP-008,elbow,4.308,N,Y,85
C-0267,COUPLING AS.,OTHER,other,0.13,N,N,0
C-0268,FLANGE-ONE PIEC,CP-003,straight,2.91,N,Y,28
C-0269,FLANGE,CP-019,boss,3.361,N,Y,0
C-0270,SPACER,OTHER,other,0.037,N,N,0
C-0271,TEE-HYDRAULIC,OTHER,tee,1.526,N,Y,93
C-0272,UNION-BRAZE,CP-014,threaded,0.104,N,N,38.5
C-0273,ELBOW-HYDRAULIC,CP-008,elbow,1.181,N,Y,78
C-0274,BOSS,CP-018,boss,0.378,Y,Y,0
C-0275,FLANGE-ONE PIECE,CP-003,straight,3.268,N,Y,28
C-0276,MANIFOLD,OTHER,other,4.59,N,N,0
C-0277,MANIFOLD-FUEL,OTHER,other,3.5,N,N,0
C-0278,CONNECTOR-WELD,CP-018,boss,0.015,N,Y,0
C-0279,TUBE,OTHER,other,0.908,N,N,0
C-0280,TUBE AS.,OTHER,other,0.614,N,N,0
C-0281,HOSE AS.,OTHER,other,0.118,N,N,0
C-0282,TUBE AS.,OTHER,other,0.25,N,N,0
C-0283,HOSE AS.,OTHER,other,0.108,N,N,0
C-0284,ELBOW-HYDRAULIC,CP-011,elbow,2.258,N,Y,108
C-0285,ELBOW-HYDRAULIC,CP-011,elbow,5.307,Y,Y,142
C-0286,NUT-WELD,OTHER,other,0.006,N,N,0
C-0287,NUT-WELD,OTHER,other,0.01,N,N,0
C-0288,NUT-WELD,OTHER,other,0.007,N,N,0
C-0289,TUBE,OTHER,other,1.12,N,N,0
C-0290,TUBE AS.,OTHER,other,0.408,N,N,0
C-0291,TUBE AS.,OTHER,other,0.559,N,N,0
C-0292,FLANGE,CP-004,straight,0.115,N,Y,28
C-0293,HEAD-FLANGED,OTHER,other,0.15,N,N,0
C-0294,BLOCK,OTHER,other,0.444,N,N,0
C-0295,FLANGE,CP-004,straight,0.53,N,Y,28
C-0296,ELBOW,CP-010,elbow,2.189,Y,Y,90.4
C-0297,TUBE,OTHER,other,1.165,N,N,0
C-0298,BRACKET,OTHER,other,0.096,N,N,0
C-0299,TUBE,OTHER,other,0.331,N,N,0
C-0300,BRACKET,OTHER,other,0.068,N,N,0
C-0301,BLOCK,OTHER,other,1.64,N,N,0
C-0302,PLUG AS-LD STOR,OTHER,other,0.015,N,N,0
C-0303,ELBOW,CP-008,elbow,2.179,N,Y,134.9
C-0304,FLANGE,OTHER,other,1.035,N,N,0
C-0305,PLATE,OTHER,other,0.459,N,N,0
C-0306,FLANGE,CP-003,straight,1.062,N,Y,28
C-0307,CONNECTOR-SEAL,CP-019,boss,1.05,N,Y,0
C-0308,NUT-FLARED,CP-026,nut,0.037,N,N,24.6
C-0309,SLEEVE-FLARED,CP-024,sleeve,0.001,N,N,16.8
C-0310,SPACER,OTHER,other,0.283,N,N,0
C-0311,ADAPTER-INLET,OTHER,other,0.578,N,N,0
C-0312,ADAPTER-INLET,OTHER,other,0.368,N,N,0
C-0313,SLEEVE,OTHER,other,1.169,N,N,0
C-0314,ADAPTER,OTHER,other,0.25,N,N,0
C-0315,BOSS,CP-027,nut,0.203,N,N,40
C-0316,ELBOW,OTHER,other,0.792,N,N,0
C-0317,ADAPTER,OTHER,other,0.776,N,N,0
C-0318,CONNECTOR,CP-014,threaded,0.038,N,N,23.1
C-0319,ELBOW,OTHER,other,0.778,N,N,0
C-0320,PLUG,CP-012,elbow,0.639,N,N,37
C-0321,BOSS,CP-027,nut,0.02,N,N,15
C-0322,PLUG AS.,OTHER,other,0.178,N,N,0
C-0323,FLANGE,OTHER,other,1.6,N,N,0
C-0324,PLUG AS.,OTHER,other,0.319,N,N,0
C-0325,FLANGE,CP-003,straight,1.44,N,Y,28
C-0326,PLATE,OTHER,other,0.336,N,N,0
C-0327,TUBE,OTHER,other,7.304,N,N,0
C-0328,TUBE AS.,OTHER,other,0.679,N,N,0
C-0329,ELBOW,OTHER,other,6.8,N,N,0
C-0330,ELBOW,OTHER,other,1,N,N,0
C-0331,MANIFOLD,CP-008,elbow,6.245,N,Y,100
C-0332,HEAD-FLANGED,CP-006,straight,0.008,N,N,17.53
C-0333,HEAD-FLANGED,CP-006,straight,0.136,N,N,28
C-0334,HEAD-FLANGED,CP-006,straight,0.104,N,N,28
C-0335,HEAD-FLANGED,CP-006,straight,0.09,N,N,28
C-0336,NUT-37 DEG FLARE,CP-026,nut,0.045,N,N,24.6
C-0337,NUT-ORFS,CP-025,nut,0.022,N,N,16
C-0338,ELBOW-WELD,CP-015,threaded,0.29,N,Y,38.5
C-0339,TEE-ORFS TO WEL,CP-016,threaded,0.32,N,Y,38.5
C-0340,ELBOW,OTHER,other,0.29,N,N,0
C-0341,PLATE,OTHER,other,0.067,N,N,0
C-0342,FLANGE,CP-002,straight,1.589,N,Y,28
C-0343,FLANGE-ONE PIECE,CP-003,straight,0.813,N,Y,28
C-0344,FLANGE,CP-003,straight,1.297,N,Y,28
C-0345,BOSS,CP-027,nut,0.04,N,N,23
C-0346,PLATE,OTHER,other,0.04,N,N,0
C-0347,CAP-A/C,OTHER,other,0.002,N,N,0
C-0348,CONNECTOR-WELD,CP-018,boss,0.045,Y,Y,0
C-0349,FLANGE-PIPE,OTHER,other,2,N,N,0
C-0350,PIPE,OTHER,other,1,N,N,0
C-0351,PLATE AS,OTHER,other,2.16,N,N,0
C-0352,PLATE,OTHER,other,0.39,N,N,0
C-0353,PIPE,OTHER,other,0.326,N,N,0
C-0354,BUSHING-REDUCING,CP-028,adaptor,0.136,N,N,36.3
C-0355,PLATE,OTHER,other,1.2,N,N,0
C-0356,BOSS,CP-018,boss,0.12,Y,Y,0
C-0357,FLANGE,OTHER,other,0.55,N,N,0
C-0358,BOSS,CP-018,boss,0.154,Y,Y,0
C-0359,FLANGE-ONE PIECE,CP-002,straight,1.044,N,Y,28
C-0360,FLANGE,CP-003,straight,1.325,Y,Y,28
C-0361,CONNECTOR-O-RIN,CP-028,adaptor,0.005,N,N,41
C-0362,FLANGE,CP-004,straight,0.32,N,Y,28
C-0363,CONNECTOR,CP-014,threaded,0.175,N,N,72.5
C-0364,FLANGE,OTHER,other,0.147,N,N,0
C-0365,FLANGE,OTHER,other,0.125,N,N,0
C-0366,FLANGE,OTHER,other,0.112,N,N,0
C-0367,ELBOW,CP-009,elbow,1.093,N,Y,63
C-0368,ADAPTER,OTHER,other,0.442,N,N,0
C-0369,TEE,CP-016,threaded,0.253,N,Y,38.5
C-0370,HEAD-FLANGED,CP-006,straight,0.596,N,N,25.4
C-0371,FITTING,CP-016,threaded,0.842,N,Y,38.5
C-0372,BRACKET,OTHER,other,0.049,N,N,0
C-0373,ADAPTER,OTHER,other,0.105,N,N,0
C-0374,COUPLING AS,OTHER,other,0.735,N,N,0
C-0375,NUT-DIRECT INJ,OTHER,other,0.019,N,N,0
C-0376,FLANGE,OTHER,other,0.124,N,N,0
C-0377,VALVE CORE,OTHER,other,0.064,N,N,0
C-0378,VALVE BODY,OTHER,other,0.094,N,N,0
C-0379,TUBE,OTHER,other,3.7,N,N,0
C-0380,FLANGE,CP-003,straight,0.928,Y,Y,28
C-0381,TUBE,OTHER,other,3.855,N,N,0
C-0382,PLUG AS-STOR,OTHER,other,0.186,N,N,0
C-0383,FLANGE,OTHER,other,2.892,N,N,0
C-0384,TUBE,OTHER,other,7.207,N,N,0
C-0385,FLANGE,CP-004,straight,0.732,Y,Y,28
C-0386,HEAD-O-RING SEAL,CP-014,threaded,0.543,N,N,42.7
C-0387,FLANGE,CP-019,boss,0.939,N,Y,0
C-0388,CONNECTOR-BHD,CP-014,threaded,0.078,N,N,45.9
C-0389,CONNECTOR-BHD,CP-014,threaded,0.15,N,N,48.4
C-0390,NUT-SWIVEL,CP-025,nut,0.034,N,N,21
C-0391,SLEEVE-90 DEG,CP-024,sleeve,0.009,N,N,10.5
C-0392,HEAD-FLANGE,CP-006,straight,0.14,N,N,28
C-0393,BOSS,CP-018,boss,0.06,Y,Y,0
C-0394,ELBOW-HYDRAULIC,CP-008,elbow,2.46,N,Y,88
C-0395,PLATE,OTHER,other,0.05,N,N,0
C-0396,FLANGE,OTHER,other,0.352,N,N,0
C-0397,ORIFICE AS.-A/C,OTHER,other,0.004,N,N,0
C-0398,FLANGE,CP-004,straight,0.078,N,Y,28
C-0399,TEE,CP-016,threaded,0.169,N,Y,38.5
C-0400,FLANGE-ONE PIECE,CP-003,straight,1.547,N,Y,28
C-0401,ELBOW-HYDRAULIC,CP-008,elbow,1.095,Y,Y,85.3
C-0402,BLOCK-DRAIN,OTHER,other,2.022,N,N,0
C-0403,BOSS,CP-003,straight,2.59,N,Y,28
C-0404,SLEEVE,OTHER,other,10.56,N,N,0
