component_id,boss_type,boss_connection_type_id,boss_outside_shape,boss_base_type,boss_height_over_tube,boss_bolt_pattern_long,boss_bolt_pattern_wide,boss_groove,boss_base_diameter,boss_shoulder_diameter,boss_unique_feature,boss_orientation,boss_weight
C-0008,Boss,B-005,Round,Flat Bottom,17.0,77.8,42.9,N,22.0,22.36,Y,Y,0.032
C-0009,Boss,B-004,Round,Flat Bottom,13.0,77.8,42.9,N,25.0,22.36,N,Y,0.033
C-0020,Boss,B-005,Round,Saddle,28.4,77.8,42.9,N,35.0,22.36,Y,Y,0.07
C-0054,Boss,B-005,Round,Saddle,27.1,77.8,42.9,N,28.0,22.36,Y,Y,0.18
C-0071,Boss,B-005,Round,Shoulder,20.0,77.8,42.9,N,30.0,23.0,Y,Y,0.08
C-0082,Boss,B-002,Round,Saddle,15.65,77.8,42.9,N,28.0,22.36,Y,Y,0.043
C-0083,NONE,B-012,NONE,NONE,36.5,77.8,42.9,N,28.0,22.36,N,Y,2.093
C-0084,NONE,B-012,NONE,NONE,36.5,88.9,50.8,N,28.0,22.36,N,Y,2.6010000000000004
C-0111,Boss,B-009,Round,Shoulder,19.0,77.8,42.9,N,35.0,30.0,Y,Y,0.1
C-0117,Boss,B-005,Round,Saddle,22.0,77.8,42.9,N,25.4,22.36,N,Y,0.081
C-0151,Boss,B-005,Round,Saddle,17.9,77.8,42.9,N,28.0,22.36,Y,Y,0.047
C-0161,NONE,9999,NONE,NONE,19.2,76.2,42.9,N,28.0,22.36,N,Y,0.5589999999999999
C-0165,Boss,B-005,Round,Shoulder,12.0,77.8,42.9,N,30.0,25.0,N,Y,0.046
C-0177,Boss,B-005,Round,Saddle,24.0,77.8,42.9,N,28.0,22.36,Y,Y,0.122
C-0199,Boss,B-004,Round,Shoulder,23.6,77.8,42.9,N,33.33,23.9,Y,Y,0.1
C-0208,Stud,B-002,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,N,Y,0.023
C-0209,Stud,B-002,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,N,Y,0.022
C-0213,Stud,B-002,Round,Saddle,22.35,77.8,42.9,N,28.0,22.36,N,Y,0.159
C-0214,Stud,B-002,Round,Saddle,19.05,77.8,42.9,N,28.0,22.36,N,Y,0.059
C-0215,Stud,B-002,Round,Saddle,17.53,77.8,42.9,N,28.0,22.36,N,Y,0.033
C-0242,Boss,B-005,Round,Flat Bottom,20.0,77.8,42.9,N,32.0,22.36,Y,Y,0.08
C-0243,NONE,B-012,NONE,NONE,36.0,88.9,50.8,N,28.0,22.36,N,Y,4.034
C-0245,Boss,B-004,Round,Shoulder,20.5,77.8,42.9,N,26.9,20.6,Y,Y,0.1
C-0255,Boss,B-005,Round,Saddle,25.0,77.8,42.9,N,28.0,22.36,Y,Y,0.127
C-0257,NONE,B-012,NONE,NONE,27.2,77.77,42.88,N,28.0,22.36,N,Y,1.63
C-0258,Boss,B-005,Round,Saddle,20.9,77.8,42.9,N,28.0,22.36,Y,Y,0.192
C-0260,Boss,B-005,Round,Saddle,25.4,77.8,42.9,N,28.0,22.36,Y,Y,0.18600000000000005
C-0262,Boss,B-009,Round,Saddle,20.6,77.8,42.9,N,28.0,22.36,Y,Y,0.158
C-0269,NONE,B-012,NONE,NONE,10.55,120.7,69.9,N,28.0,22.36,N,Y,3.361
C-0274,Boss,B-005,Round,Saddle,39.33,77.8,42.9,N,40.0,22.36,Y,Y,0.378
C-0278,Stud,B-002,Round,Saddle,14.22,77.8,42.9,N,28.0,22.36,N,Y,0.015
C-0307,NONE,B-013,NONE,NONE,18.67,57.15,27.76,N,28.0,22.36,N,Y,1.05
C-0348,Boss,B-005,Round,Saddle,19.1,77.8,42.9,N,28.0,22.36,Y,Y,0.045
C-0356,Boss,B-005,Round,Shoulder,8.0,77.8,42.9,N,35.0,30.0,Y,Y,0.12
C-0358,Boss,B-009,Round,Saddle,38.4,77.8,42.9,N,28.0,22.36,Y,Y,0.154
C-0387,NONE,B-012,NONE,NONE,24.0,58.72,30.18,N,28.0,22.36,N,Y,0.939
C-0393,Boss,B-005,Hex,Shoulder,24.0,77.8,42.9,N,22.0,12.24,Y,Y,0.06
C-0405,Boss,B-005,Round,Shoulder,10.0,77.8,42.9,N,30.0,20.0,Y,Y,0.05
C-0411,Stud,B-002,Round,Saddle,17.53,77.8,42.9,N,28.0,22.36,N,Y,0.034
C-0425,Boss,B-004,Round,Shoulder,8.73,77.8,42.9,N,15.88,12.29,N,Y,0.005
C-0426,Boss,B-004,Round,Shoulder,6.0,77.8,42.9,N,22.0,18.2,N,Y,0.023
C-0432,Boss,B-004,Round,Saddle,22.23,77.8,42.9,N,38.1,22.36,N,Y,0.063
C-0474,Boss,B-005,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,N,Y,0.054000000000000006
C-0475,Boss,B-005,Round,Saddle,15.8,77.8,42.9,N,28.0,22.36,Y,Y,0.05
C-0483,Boss,B-004,Round,Saddle,12.0,77.8,42.9,N,28.0,22.36,N,Y,0.08
C-0486,Boss,B-004,Round,Shoulder,25.4,77.8,42.9,N,38.1,26.9,Y,Y,0.114
C-0493,Boss,B-004,Round,Saddle,16.0,77.8,42.9,N,28.0,22.36,N,Y,0.015
C-0495,Boss,B-005,Hex,Saddle,25.4,77.8,42.9,N,28.0,22.36,N,Y,0.083
C-0497,Boss,B-005,Round,Saddle,16.0,77.8,42.9,N,28.0,22.36,Y,Y,0.052000000000000005
C-0499,Boss,B-005,Hex,Saddle,29.3,77.8,42.9,N,28.0,22.36,N,Y,0.08199999999999999
C-0502,Stud,B-002,Hex,Saddle,31.9,77.8,42.9,N,28.0,22.36,N,Y,0.269
C-0506,Boss,B-005,Round,Saddle,24.0,77.8,42.9,N,28.0,22.36,Y,Y,0.093
C-0513,NONE,9999,NONE,NONE,35.0,77.77,57.94,N,28.0,22.36,N,Y,2.14
C-0520,Boss,B-005,Round,Shoulder,9.5,77.8,42.9,N,25.0,18.0,Y,Y,0.021
C-0533,Boss,B-010,Round,Saddle,16.0,77.8,42.9,N,28.0,22.36,Y,Y,0.026
C-0534,Boss,B-005,Round,Saddle,21.6,77.8,42.9,N,28.0,22.36,Y,Y,0.217
C-0539,Boss,B-005,Hex,Saddle,14.17,77.8,42.9,N,28.0,22.36,Y,Y,0.003
C-0544,Stud,B-002,Round,Saddle,22.35,77.8,42.9,N,33.38,22.36,N,Y,0.129
C-0547,Stud,B-002,Round,Saddle,14.3,77.8,42.9,N,28.0,22.36,N,Y,0.012
C-0548,Stud,B-002,Round,Saddle,17.53,77.8,42.9,N,28.0,22.36,N,Y,0.059
C-0549,Stud,B-002,Round,Saddle,17.53,77.8,42.9,N,28.0,22.36,N,Y,0.059
C-0555,NONE,B-012,NONE,NONE,27.6,77.8,42.9,N,28.0,22.36,N,Y,1.612
C-0556,Stud,B-002,Round,Saddle,17.53,77.8,42.9,N,18.24,22.36,N,Y,0.059
C-0569,Boss,B-005,Round,Shoulder,15.0,77.8,42.9,N,25.0,22.5,N,Y,0.037000000000000005
C-0575,Boss,9999,Round,Saddle,21.4,77.8,42.9,N,28.0,22.36,Y,Y,0.075
C-0623,Stud,B-002,Round,Saddle,15.8,77.8,42.9,N,28.0,22.36,N,Y,0.021
C-0624,Stud,B-002,Round,Saddle,19.3,77.8,42.9,N,20.0,22.36,N,Y,0.06
C-0641,NONE,B-012,NONE,NONE,16.9,106.38,61.93,N,28.0,22.36,N,Y,0.304
C-0643,NONE,B-012,NONE,NONE,20.07,120.65,69.85,N,28.0,22.36,N,Y,3.361
C-0678,Boss,B-005,Round,Saddle,20.0,77.8,42.9,N,28.0,22.36,Y,Y,0.112
C-0697,Stud,B-002,Round,Saddle,14.2,77.8,42.9,N,28.0,22.36,N,Y,0.014
C-0699,Boss,B-011,Round,Shoulder,17.5,77.8,42.9,N,22.0,18.0,N,Y,0.044
C-0700,Stud,B-002,Hex,Saddle,36.6,77.8,42.9,N,28.0,22.36,N,Y,0.265
C-0701,Stud,B-002,Hex,Saddle,37.6,77.8,42.9,N,28.0,22.36,N,Y,0.194
C-0723,Boss,B-004,Round,Saddle,16.6,77.8,42.9,N,28.0,22.36,Y,Y,0.076
C-0755,Boss,B-005,Round,Saddle,18.8,77.8,42.9,N,32.0,22.36,Y,Y,2.62
C-0770,NONE,9999,NONE,NONE,21.5,94.0,42.9,N,28.0,22.36,N,Y,0.987
C-0780,NONE,9999,NONE,NONE,21.5,76.2,42.9,N,28.0,22.36,N,Y,0.5770000000000001
C-0791,Stud,B-002,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,N,Y,0.034
C-0793,NONE,B-012,NONE,NONE,54.7,88.9,50.8,N,28.0,22.36,N,Y,3.815
C-0796,NONE,9999,NONE,NONE,21.2,94.0,42.9,N,28.0,22.36,N,Y,0.987
C-0804,NONE,B-012,NONE,NONE,12.5,106.4,61.9,N,28.0,22.36,N,Y,2.805
C-0816,Boss,B-005,Round,Saddle,18.54,77.8,42.9,N,28.0,22.36,Y,Y,0.071
C-0817,Boss,B-005,Round,Saddle,18.54,77.8,42.9,N,31.75,22.36,N,Y,0.069
C-0837,Boss,B-004,Round,Flat Bottom,20.0,77.8,42.9,N,25.0,22.36,N,Y,0.059
C-0854,Boss,B-004,Round,Shoulder,11.5,77.8,42.9,N,25.4,19.0,N,Y,0.041
C-0869,NONE,B-012,NONE,NONE,11.95,77.8,42.9,N,28.0,22.36,N,Y,1.112
C-0893,Boss,B-005,Round,Saddle,25.0,77.8,42.9,N,28.0,22.36,Y,Y,0.31
C-0899,NONE,9999,NONE,NONE,8.3,76.2,42.9,N,28.0,22.36,N,Y,0.426
C-0920,Boss,B-009,Round,Flat Bottom,17.0,77.8,42.9,N,28.8,22.36,N,Y,0.077
C-0930,Boss,9999,Round,Saddle,24.0,77.8,42.9,N,28.0,22.36,Y,Y,0.122
C-0965,Boss,B-005,Round,Saddle,39.6,77.8,42.9,N,50.0,22.36,Y,Y,0.5
C-1029,Boss,B-005,Round,Saddle,45.0,77.8,42.9,N,28.0,22.36,Y,Y,0.411
C-1045,Stud,B-002,Hex,Saddle,25.66,77.8,42.9,N,28.0,22.36,N,Y,0.01
C-1065,NONE,B-012,NONE,NONE,27.4,69.85,35.71,N,28.0,22.36,N,Y,1.494
C-1089,Boss,B-009,Round,Flat Bottom,12.5,77.8,42.9,N,18.0,22.36,N,Y,0.037000000000000005
C-1117,Boss,B-005,Round,Saddle,38.1,77.8,42.9,N,50.8,22.36,N,Y,0.523
C-1123,Boss,B-009,Round,Saddle,15.5,77.8,42.9,N,28.0,22.36,N,Y,0.149
C-1124,Boss,B-009,Round,Saddle,15.5,77.8,42.9,N,28.0,22.36,N,Y,0.08
C-1127,Boss,B-009,Round,Saddle,15.5,77.8,42.9,N,28.0,22.36,N,Y,0.075
C-1171,Boss,B-005,Round,Saddle,20.05,77.8,42.9,N,44.45,22.36,N,Y,0.149
C-1225,Boss,B-004,Round,Saddle,12.7,77.8,42.9,N,28.0,22.36,N,Y,0.08199999999999999
C-1231,Boss,B-004,Round,Saddle,12.7,77.8,42.9,N,28.0,22.36,N,Y,0.015
C-1233,Boss,B-004,Round,Saddle,12.7,77.8,42.9,N,28.0,22.36,N,Y,0.058
C-1256,Boss,B-005,Round,Shoulder,13.0,77.8,42.9,N,40.0,29.0,Y,Y,0.14
C-1257,Boss,B-005,Round,Shoulder,10.0,77.8,42.9,N,25.0,18.0,N,Y,0.06
C-1259,Boss,B-004,Round,Saddle,15.0,77.8,42.9,N,28.0,22.36,N,Y,0.215
C-1308,NONE,9999,NONE,NONE,12.5,86.0,42.9,N,28.0,22.36,N,Y,0.454
C-1340,Boss,B-005,Round,Shoulder,18.3,77.8,42.9,N,44.45,40.13,Y,Y,0.146
C-1410,Boss,B-004,Round,Flat Bottom,22.23,77.8,42.9,N,31.75,22.36,N,Y,0.005
C-1411,Boss,B-004,Round,Flat Bottom,18.3,77.8,42.9,N,25.0,22.36,N,Y,0.057
C-1417,Boss,B-004,Round,Saddle,12.7,77.8,42.9,N,28.0,22.36,N,Y,0.034
C-1426,Boss,B-005,Round,Shoulder,17.53,77.8,42.9,N,31.75,24.61,Y,Y,0.071
C-1431,Boss,B-005,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,Y,Y,0.1
C-1489,Boss,B-004,Round,Flat Bottom,15.7,77.8,42.9,N,25.0,22.36,N,Y,0.04
C-1496,NONE,B-012,NONE,NONE,30.0,69.85,35.71,N,28.0,22.36,N,Y,1.023
C-1503,Boss,B-005,Round,Saddle,26.0,77.8,42.9,N,28.0,22.36,Y,Y,0.455
C-1505,Boss,B-004,Round,Shoulder,4.76,77.8,42.9,N,25.4,22.22,N,Y,0.045
C-1506,Boss,B-004,Round,Shoulder,9.53,77.8,42.9,N,22.22,18.26,N,Y,0.021
C-1507,Boss,B-005,Round,Saddle,19.0,77.8,42.9,N,28.0,22.36,Y,Y,0.15
C-1535,Boss,B-005,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,Y,Y,0.052000000000000005
C-1536,Boss,B-005,Round,Saddle,15.75,77.8,42.9,N,28.0,22.36,Y,Y,0.052000000000000005
C-1537,Boss,B-005,Round,Shoulder,16.76,77.8,42.9,N,31.75,27.43,Y,Y,0.084
C-1557,Boss,B-004,Round,Flat Bottom,38.1,77.8,42.9,N,20.64,22.36,N,Y,0.091
C-1579,Boss,B-004,Round,Flat Bottom,31.75,77.8,42.9,N,25.4,22.36,Y,Y,0.114
C-1697,Boss,B-005,Round,Shoulder,20.5,77.8,42.9,N,25.0,17.8,Y,Y,0.066
C-1698,Boss,B-005,Round,Shoulder,20.5,77.8,42.9,N,28.0,21.8,Y,Y,0.073
C-1699,Boss,B-005,Round,Shoulder,25.5,77.8,42.9,N,35.0,23.8,Y,Y,0.083
C-1707,Boss,B-005,Round,Shoulder,23.0,77.8,42.9,N,45.0,34.9,Y,Y,0.182
C-1708,Boss,B-005,Round,Shoulder,11.0,77.8,42.9,N,30.0,27.7,N,Y,0.052000000000000005
C-1725,Boss,B-005,Round,Saddle,23.11,77.8,42.9,N,28.0,22.36,N,Y,0.24
C-1729,Boss,B-005,Round,Saddle,50.4,77.8,42.9,N,28.0,22.36,Y,Y,0.223
C-1731,Boss,B-004,Round,Shoulder,8.89,77.8,42.9,N,25.4,12.29,N,Y,0.08199999999999999
C-1764,Boss,B-004,Round,Flat Bottom,10.0,77.8,42.9,N,14.0,22.36,N,Y,0.009000000000000001
C-1780,Boss,B-005,Round,Shoulder,20.0,77.8,42.9,N,25.0,15.0,Y,Y,0.06
C-1833,Boss,B-005,Round,Shoulder,12.3,77.8,42.9,N,60.0,52.37,Y,Y,0.223
C-1839,Boss,B-005,Round,Saddle,15.75,77.8,42.9,N,25.4,22.36,Y,Y,0.055
C-1862,Boss,B-004,Round,Flat Bottom,19.0,77.8,42.9,N,25.0,22.36,N,Y,0.091
C-1919,NONE,B-012,NONE,NONE,35.0,58.72,30.18,N,28.0,22.36,N,Y,1.96
C-1924,Boss,B-004,Round,Saddle,15.0,77.8,42.9,N,28.0,22.36,N,Y,0.09
C-1925,Boss,B-005,Round,Saddle,20.0,77.8,42.9,N,28.0,22.36,Y,Y,0.197
C-1928,Boss,B-005,Round,Saddle,15.8,77.8,42.9,N,28.0,22.36,Y,Y,0.079
C-1970,Boss,B-004,Round,Saddle,16.0,77.8,42.9,N,28.0,22.36,N,Y,0.032
C-1973,Boss,B-004,Round,Saddle,19.05,77.8,42.9,N,31.75,22.36,N,Y,0.05
C-1974,Boss,B-004,Round,Saddle,31.75,77.8,42.9,N,28.0,22.36,N,Y,2.375
C-1988,Boss,B-005,Round,Saddle,16.0,77.8,42.9,N,28.0,22.36,N,Y,0.055
C-1990,Boss,B-005,Round,Saddle,16.0,77.8,42.9,N,28.0,22.36,Y,Y,0.2
